010.001.230.000|010.001.255.255|未知位置||
010.002.000.000|010.002.001.255|未知位置||
010.002.002.000|010.002.002.255|信息教学楼教学设备||
010.002.003.000|010.002.009.255|未知位置||
010.002.010.000|010.002.039.255|信息教学楼||
010.002.040.000|010.002.049.255|未知位置||
010.002.050.000|010.002.051.255|新1#学生公寓1~2层东侧||
010.002.052.000|010.002.053.255|新1#学生公寓1~2层南侧||
010.002.054.000|010.002.055.255|新1#学生公寓3~4层东侧||
010.002.056.000|010.002.057.255|新1#学生公寓3~4层南侧||
010.002.058.000|010.002.059.255|新1#学生公寓5~7层东侧||
010.002.060.000|010.002.061.255|新1#学生公寓5~7层南侧||
010.002.062.000|010.002.063.255|新1#学生公寓8~10层东侧||
010.002.064.000|010.002.065.255|新1#学生公寓8~10层南侧||
010.002.066.000|010.002.067.255|新1#学生公寓11~13层东侧||
010.002.068.000|010.002.069.255|新1#学生公寓11~13层南侧||
010.002.070.000|010.002.070.255|网协机房||
010.002.071.000|010.002.255.255|未知位置||
010.003.000.000|010.004.000.255|未知位置||
010.004.001.000|010.004.015.255|三义庙学生公寓||
010.004.016.000|010.004.019.255|软件学院实训基地||
010.004.020.000|010.004.049.255|未知||
010.004.050.000|010.004.051.255|10#办公楼一层||
010.004.052.000|010.004.053.255|10#办公楼二层||
010.004.054.000|010.004.069.255|未知||
010.004.070.000|010.004.079.255|中心花园无线网络||
010.004.080.000|010.004.255.255|未知||
010.005.000.000|010.005.003.255|图书馆（具体未知）||
010.005.004.000|010.005.007.255|图书馆||
010.005.008.000|010.005.255.255|图书馆（具体未知）||
010.006.000.000|010.006.009.255|研究生院||
010.006.010.000|010.006.013.255|研究生教学楼||
010.006.014.000|010.006.019.255|未知位置||
010.006.020.000|010.006.023.255|研究生教学楼||
010.006.024.000|010.006.029.255|未知位置||
010.006.030.000|010.006.033.255|研究生教学楼||
010.006.034.000|010.006.039.255|未知位置||
010.006.040.000|010.006.041.255|研究生教学楼||
010.006.042.000|010.006.049.255|未知位置||
010.006.050.000|010.006.053.255|研究生教学楼||
010.006.054.000|010.006.059.255|未知位置||
010.006.060.000|010.006.061.255|研究生教学楼||
010.006.062.000|010.006.255.255|未知位置||
010.007.000.000|010.009.255.255|未知位置||
010.010.000.000|010.010.255.255|图书馆保留段(卡务中心？)||
010.011.000.000|010.013.255.255|未使用||
010.014.000.000|010.021.255.255|新一学生公寓||
010.022.000.000|010.022.000.255|未使用||
010.022.001.000|010.022.002.255|新2#学生公寓1层||
010.022.003.000|010.022.004.255|新2#学生公寓2层||
010.022.005.000|010.022.006.255|新2#学生公寓3层||
010.022.007.000|010.022.008.255|新2#学生公寓4层||
010.022.009.000|010.022.010.255|新2#学生公寓5层||
010.022.011.000|010.022.012.255|新2#学生公寓6层||
010.022.013.000|010.022.014.255|新2#学生公寓7层||
010.022.015.000|010.022.016.255|新2#学生公寓8层||
